0,1,2,3,4,5
"{'yyyymm': '202201', 'lead': 1, 'target': '2022-02', 'acc': 0.4072720797720798, 'hss': 0.08601010343137322}","{'yyyymm': '202201', 'lead': 2, 'target': '2022-03', 'acc': 0.422962962962963, 'hss': 0.10041719017475931}","{'yyyymm': '202201', 'lead': 3, 'target': '2022-04', 'acc': 0.4266666666666667, 'hss': 0.12167224802747319}","{'yyyymm': '202201', 'lead': 4, 'target': '2022-05', 'acc': 0.4107478632478632, 'hss': 0.09848406040069477}","{'yyyymm': '202201', 'lead': 5, 'target': '2022-06', 'acc': 0.3761823361823362, 'hss': 0.0356956512021563}","{'yyyymm': '202201', 'lead': 6, 'target': '2022-07', 'acc': 0.45614672364672365, 'hss': 0.14987678190169795}"
"{'yyyymm': '202202', 'lead': 1, 'target': '2022-03', 'acc': 0.48228632478632477, 'hss': 0.15791524623913936}","{'yyyymm': '202202', 'lead': 2, 'target': '2022-04', 'acc': 0.4332692307692308, 'hss': 0.11676711535236368}","{'yyyymm': '202202', 'lead': 3, 'target': '2022-05', 'acc': 0.4168162393162393, 'hss': 0.0948524872635392}","{'yyyymm': '202202', 'lead': 4, 'target': '2022-06', 'acc': 0.4179843304843305, 'hss': 0.0883244710732047}","{'yyyymm': '202202', 'lead': 5, 'target': '2022-07', 'acc': 0.47205128205128205, 'hss': 0.16586743677351654}","{'yyyymm': '202202', 'lead': 6, 'target': '2022-08', 'acc': 0.47507122507122507, 'hss': 0.1610615581112532}"
"{'yyyymm': '202203', 'lead': 1, 'target': '2022-04', 'acc': 0.46377492877492876, 'hss': 0.16120518676764353}","{'yyyymm': '202203', 'lead': 2, 'target': '2022-05', 'acc': 0.44413105413105414, 'hss': 0.1355467935114504}","{'yyyymm': '202203', 'lead': 3, 'target': '2022-06', 'acc': 0.41802706552706553, 'hss': 0.08425456707146886}","{'yyyymm': '202203', 'lead': 4, 'target': '2022-07', 'acc': 0.4679202279202279, 'hss': 0.16279215638896705}","{'yyyymm': '202203', 'lead': 5, 'target': '2022-08', 'acc': 0.45917378917378915, 'hss': 0.13918050748213148}","{'yyyymm': '202203', 'lead': 6, 'target': '2022-09', 'acc': 0.4732264957264957, 'hss': 0.14402749645023763}"
"{'yyyymm': '202204', 'lead': 1, 'target': '2022-05', 'acc': 0.4481908831908832, 'hss': 0.14045974051267127}","{'yyyymm': '202204', 'lead': 2, 'target': '2022-06', 'acc': 0.41347578347578345, 'hss': 0.07973486203159372}","{'yyyymm': '202204', 'lead': 3, 'target': '2022-07', 'acc': 0.46253561253561254, 'hss': 0.15436601935332347}","{'yyyymm': '202204', 'lead': 4, 'target': '2022-08', 'acc': 0.46035612535612536, 'hss': 0.14169118306954046}","{'yyyymm': '202204', 'lead': 5, 'target': '2022-09', 'acc': 0.4843304843304843, 'hss': 0.15708735778510072}","{'yyyymm': '202204', 'lead': 6, 'target': '2022-10', 'acc': 0.4358119658119658, 'hss': 0.09118360587953701}"
"{'yyyymm': '202205', 'lead': 1, 'target': '2022-06', 'acc': 0.42138888888888887, 'hss': 0.07457175994107373}","{'yyyymm': '202205', 'lead': 2, 'target': '2022-07', 'acc': 0.4843019943019943, 'hss': 0.17577533619249497}","{'yyyymm': '202205', 'lead': 3, 'target': '2022-08', 'acc': 0.47221509971509973, 'hss': 0.1436891167416033}","{'yyyymm': '202205', 'lead': 4, 'target': '2022-09', 'acc': 0.5298148148148148, 'hss': 0.22203723994154384}","{'yyyymm': '202205', 'lead': 5, 'target': '2022-10', 'acc': 0.4765384615384615, 'hss': 0.15854177599553443}","{'yyyymm': '202205', 'lead': 6, 'target': '2022-11', 'acc': 0.3695299145299145, 'hss': 0.05807650750036124}"
"{'yyyymm': '202206', 'lead': 1, 'target': '2022-07', 'acc': 0.4897435897435897, 'hss': 0.17397323250090305}","{'yyyymm': '202206', 'lead': 2, 'target': '2022-08', 'acc': 0.48304843304843303, 'hss': 0.1669993782600389}","{'yyyymm': '202206', 'lead': 3, 'target': '2022-09', 'acc': 0.49874643874643876, 'hss': 0.18238337640045865}","{'yyyymm': '202206', 'lead': 4, 'target': '2022-10', 'acc': 0.4962891737891738, 'hss': 0.19036508880974068}","{'yyyymm': '202206', 'lead': 5, 'target': '2022-11', 'acc': 0.38403846153846155, 'hss': 0.08251841890930983}","{'yyyymm': '202206', 'lead': 6, 'target': '2022-12', 'acc': 0.39913105413105415, 'hss': 0.05774066640137375}"
"{'yyyymm': '202207', 'lead': 1, 'target': '2022-08', 'acc': 0.49925213675213675, 'hss': 0.1907812766986764}","{'yyyymm': '202207', 'lead': 2, 'target': '2022-09', 'acc': 0.5073860398860399, 'hss': 0.19792060839099082}","{'yyyymm': '202207', 'lead': 3, 'target': '2022-10', 'acc': 0.49198717948717946, 'hss': 0.20067120276146666}","{'yyyymm': '202207', 'lead': 4, 'target': '2022-11', 'acc': 0.39757122507122505, 'hss': 0.11069479900403248}","{'yyyymm': '202207', 'lead': 5, 'target': '2022-12', 'acc': 0.4000854700854701, 'hss': 0.06747891515627279}","{'yyyymm': '202207', 'lead': 6, 'target': '2023-01', 'acc': 0.37314102564102564, 'hss': 0.059186975765414554}"
"{'yyyymm': '202208', 'lead': 1, 'target': '2022-09', 'acc': 0.5266737891737892, 'hss': 0.21210055849478426}","{'yyyymm': '202208', 'lead': 2, 'target': '2022-10', 'acc': 0.5138746438746439, 'hss': 0.21309447241102952}","{'yyyymm': '202208', 'lead': 3, 'target': '2022-11', 'acc': 0.3821794871794872, 'hss': 0.07324221196984085}","{'yyyymm': '202208', 'lead': 4, 'target': '2022-12', 'acc': 0.4146011396011396, 'hss': 0.07981049308909066}","{'yyyymm': '202208', 'lead': 5, 'target': '2023-01', 'acc': 0.36162393162393164, 'hss': 0.041241418209344426}","{'yyyymm': '202208', 'lead': 6, 'target': '2023-02', 'acc': 0.3893732193732194, 'hss': 0.03569852982736546}"
"{'yyyymm': '202209', 'lead': 1, 'target': '2022-10', 'acc': 0.523525641025641, 'hss': 0.22142732814340754}","{'yyyymm': '202209', 'lead': 2, 'target': '2022-11', 'acc': 0.3641025641025641, 'hss': 0.04665064561526309}","{'yyyymm': '202209', 'lead': 3, 'target': '2022-12', 'acc': 0.4283903133903134, 'hss': 0.1092672179371303}","{'yyyymm': '202209', 'lead': 4, 'target': '2023-01', 'acc': 0.370968660968661, 'hss': 0.05671218349369805}","{'yyyymm': '202209', 'lead': 5, 'target': '2023-02', 'acc': 0.35824074074074075, 'hss': -0.005374945574104114}","{'yyyymm': '202209', 'lead': 6, 'target': '2023-03', 'acc': 0.34784188034188035, 'hss': 0.030529868023164826}"
"{'yyyymm': '202210', 'lead': 1, 'target': '2022-11', 'acc': 0.4165740740740741, 'hss': 0.11630953885408231}","{'yyyymm': '202210', 'lead': 2, 'target': '2022-12', 'acc': 0.4957549857549858, 'hss': 0.20647994094915756}","{'yyyymm': '202210', 'lead': 3, 'target': '2023-01', 'acc': 0.43935897435897436, 'hss': 0.15534143611728374}","{'yyyymm': '202210', 'lead': 4, 'target': '2023-02', 'acc': 0.43842592592592594, 'hss': 0.1145418021014997}","{'yyyymm': '202210', 'lead': 5, 'target': '2023-03', 'acc': 0.4109045584045584, 'hss': 0.08562682413660282}","{'yyyymm': '202210', 'lead': 6, 'target': '2023-04', 'acc': 0.36806267806267806, 'hss': 0.053128897714642576}"
